1	23-Aug-16	13:52:18	1	1	0	0	0	0	0	35	15	17	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	23-Aug-16	13:53:18	1	1	0	0	0	0	0	13	72	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	23-Aug-16	13:54:18	1	1	0	0	0	0	0	31	53	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	23-Aug-16	13:55:18	1	1	0	0	0	0	0	27	63	16	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	23-Aug-16	13:56:18	1	1	0	0	0	0	0	38	67	26	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	23-Aug-16	13:57:18	1	1	0	0	0	0	0	15	52	14	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																									
		0:05:00								159	322	83	248																												
